# IKS4A1 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps]
33258,690,-140,710,-43,275,-358
38523,691,-137,708,-43,275,-358
44006,693,-137,713,-43,275,-358
49270,690,-139,706,-43,275,-358
54535,693,-141,712,-43,275,-358
59799,692,-138,710,-43,275,-358
65064,692,-138,711,-43,275,-358
70328,692,-138,710,-43,275,-358
75593,691,-138,708,-43,275,-358
80857,692,-140,709,-43,275,-358
86121,691,-138,710,-43,275,-358
91385,691,-140,708,-43,275,-358
96650,691,-138,709,-43,280,-363
102232,692,-138,709,-43,280,-363
107496,691,-140,709,-43,280,-363
112761,692,-141,714,-43,280,-363
118025,694,-139,710,-43,280,-363
123289,691,-140,710,-43,280,-363
128555,691,-141,710,-43,280,-363
133819,694,-138,711,-43,280,-363
139084,691,-139,709,-43,280,-363
144567,690,-138,709,-43,280,-363
149831,692,-141,710,-43,280,-363
155095,693,-140,710,-43,280,-363
160359,692,-138,711,-43,280,-363
165623,693,-139,708,-43,280,-363
170889,690,-137,711,-43,280,-363
176153,693,-140,711,-43,280,-363
181417,693,-140,711,-43,280,-363
186682,689,-138,710,-43,280,-363
191947,692,-139,709,-43,280,-363
197211,689,-139,710,-43,280,-363
202475,689,-138,710,-43,280,-363
207739,693,-141,710,-43,280,-363
213004,690,-137,710,-43,280,-363
218268,694,-140,712,-43,280,-363
223532,694,-141,710,-43,280,-363
228797,692,-141,707,-43,280,-363
234062,691,-141,712,-43,280,-363
239545,689,-138,711,-43,284,-367
245128,691,-140,712,-43,284,-367
250392,691,-140,708,-43,284,-367
255657,693,-137,712,-43,284,-367
261115,689,-139,708,-43,284,-367
266380,692,-138,711,-43,284,-367
271644,690,-137,709,-43,284,-367
276909,690,-140,707,-43,284,-367
282173,691,-140,711,-43,284,-367
287438,692,-140,709,-43,284,-367
292702,693,-138,710,-43,284,-367
297967,692,-137,706,-43,284,-367
303231,690,-137,708,-43,284,-367
308495,690,-141,712,-43,284,-367
313760,692,-141,710,-43,284,-367
319024,688,-139,713,-43,284,-367
324288,691,-138,712,-43,284,-367
329553,692,-137,710,-43,284,-367
334817,692,-139,710,-43,284,-367
340301,691,-137,710,-43,284,-367
345567,692,-137,711,-43,284,-367
350831,691,-137,714,-43,284,-367
356095,691,-139,713,-43,284,-367
361359,690,-142,709,-43,284,-367
366623,692,-141,709,-43,284,-367
371889,690,-138,711,-43,284,-367
377153,691,-139,710,-43,284,-367
382417,692,-139,713,-52,275,-367
388000,691,-139,712,-52,275,-367
393264,691,-140,712,-52,275,-367
398529,691,-137,713,-52,275,-367
403793,690,-140,709,-52,275,-367
409058,694,-140,710,-52,275,-367
414321,688,-140,710,-52,275,-367
419586,693,-140,707,-52,275,-367
424851,692,-141,712,-52,275,-367
430115,690,-138,712,-52,275,-367
435598,692,-137,709,-52,275,-367
440863,691,-137,709,-52,275,-367
446129,693,-140,711,-52,275,-367
451393,690,-139,710,-52,275,-367
456657,693,-139,708,-52,275,-367
461922,693,-140,708,-52,275,-367
467186,691,-139,711,-52,275,-367
472451,692,-140,712,-52,275,-367
477714,690,-139,710,-52,275,-367
482979,687,-137,711,-52,275,-367
488243,690,-139,710,-52,275,-367
493507,690,-138,710,-52,275,-367
498771,688,-139,712,-52,275,-367
504036,688,-141,711,-52,275,-367
509299,691,-139,711,-52,275,-367
514564,689,-137,711,-52,275,-367
519828,691,-142,709,-52,275,-367
525092,690,-138,711,-48,275,-363
530674,692,-139,708,-48,275,-363
536158,691,-139,710,-48,275,-363
541422,690,-138,711,-48,275,-363
546686,691,-139,709,-48,275,-363
551952,689,-136,712,-48,275,-363
557216,691,-135,713,-48,275,-363
562480,691,-139,711,-48,275,-363
567744,692,-138,710,-48,275,-363
573009,691,-142,711,-48,275,-363
578272,690,-140,710,-48,275,-363
583537,694,-142,713,-48,275,-363
588802,690,-140,710,-48,275,-363
594066,692,-139,711,-48,275,-363
599330,690,-138,710,-48,275,-363
604595,694,-139,711,-48,275,-363
609860,690,-139,711,-48,275,-363
615124,693,-139,708,-48,275,-363
620388,690,-136,711,-48,275,-363
625653,690,-139,711,-48,275,-363
631137,690,-139,710,-48,275,-363
636401,691,-139,707,-48,275,-363
641666,689,-139,711,-48,275,-363
646933,695,-134,710,-48,275,-363
652198,691,-136,714,-48,275,-363
657462,692,-139,708,-48,275,-363
662726,691,-139,712,-48,280,-367
668309,689,-138,709,-48,280,-367
673573,691,-140,711,-48,280,-367
678838,691,-140,711,-48,280,-367
684102,693,-137,707,-48,280,-367
689366,692,-137,710,-48,280,-367
694631,691,-139,713,-48,280,-367
699897,689,-139,709,-48,280,-367
705161,692,-137,711,-48,280,-367
710426,691,-140,710,-48,280,-367
715690,690,-136,709,-48,280,-367
720956,692,-137,711,-48,280,-367
726220,692,-139,710,-48,280,-367
731703,690,-139,712,-48,280,-367
736968,692,-139,710,-48,280,-367
742232,689,-139,711,-48,280,-367
747496,694,-141,710,-48,280,-367
752760,691,-139,710,-48,280,-367
758026,691,-139,708,-48,280,-367
763290,690,-139,711,-48,280,-367
768556,692,-141,711,-48,280,-367
773820,692,-141,710,-48,280,-367
779085,694,-139,712,-48,280,-367
784349,689,-137,709,-48,280,-367
789614,692,-140,712,-48,280,-367
794879,693,-139,709,-48,280,-367
800143,692,-137,711,-48,280,-367
805406,691,-137,713,-39,280,-363
810989,694,-137,710,-39,280,-363
816253,693,-140,710,-39,280,-363
821518,692,-140,709,-39,280,-363
827001,690,-137,711,-39,280,-363
832265,693,-138,707,-39,280,-363
837530,692,-138,711,-39,280,-363
842794,691,-141,710,-39,280,-363
848059,690,-140,710,-39,280,-363
853323,692,-138,710,-39,280,-363
858590,695,-137,708,-39,280,-363
863854,692,-139,711,-39,280,-363
869118,692,-138,715,-39,280,-363
874383,690,-141,712,-39,280,-363
879648,691,-137,710,-39,280,-363
884913,694,-138,710,-39,280,-363
890178,692,-139,709,-39,280,-363
895442,688,-140,710,-39,280,-363
900706,693,-140,711,-39,280,-363
905972,691,-139,710,-39,280,-363
911236,691,-138,710,-39,280,-363
916500,693,-138,710,-39,280,-363
921765,692,-139,709,-39,280,-363
927248,691,-138,714,-39,280,-363
932512,691,-141,709,-39,280,-363
937777,694,-139,713,-39,280,-363
943041,691,-136,709,-39,280,-363
948305,693,-142,710,-43,284,-363
953887,692,-139,713,-43,284,-363
959153,690,-137,713,-43,284,-363
964417,692,-138,711,-43,284,-363
969682,691,-139,710,-43,284,-363
974947,691,-137,709,-43,284,-363
980211,692,-139,709,-43,284,-363
985475,691,-138,711,-43,284,-363
990739,688,-138,712,-43,284,-363
996004,691,-137,710,-43,284,-363
1001268,691,-139,707,-43,284,-363
1028673,691,-138,713,-43,284,-363
1033938,689,-139,712,-43,284,-363
1039202,690,-137,706,-43,284,-363
1044465,689,-139,710,-43,284,-363
1049730,689,-141,711,-43,284,-363
1054996,691,-137,710,-43,284,-363
1060261,691,-141,712,-43,284,-363
1065526,690,-138,711,-43,284,-363
1070791,691,-140,712,-43,284,-363
1076055,692,-141,710,-43,284,-363
1081319,693,-140,711,-43,284,-363
1086584,692,-138,712,-48,288,-363
1092168,692,-137,708,-48,288,-363
1097432,692,-138,707,-48,288,-363
1102696,690,-138,711,-48,288,-363
1107962,690,-139,709,-48,288,-363
1113225,690,-137,711,-48,288,-363
1118490,689,-141,708,-48,288,-363
1123973,692,-140,711,-48,288,-363
1129237,692,-139,712,-48,288,-363
1134501,690,-139,709,-48,288,-363
1139766,692,-139,710,-48,288,-363
1145030,690,-139,715,-48,288,-363
1150294,693,-139,707,-48,288,-363
1155559,692,-139,715,-48,288,-363
1160823,690,-140,710,-48,288,-363
1166088,692,-138,709,-48,288,-363
1171353,693,-140,711,-48,288,-363
1176617,691,-139,709,-48,288,-363
1181882,692,-139,710,-48,288,-363
1187146,691,-139,711,-48,288,-363
1192411,692,-139,712,-48,288,-363
1197675,692,-136,711,-48,288,-363
1202941,691,-139,710,-48,288,-363
1208205,692,-140,712,-48,288,-363
1213469,693,-138,709,-48,288,-363
1218733,691,-139,710,-48,288,-363
1224216,690,-142,708,-48,288,-363
1229480,692,-139,711,-43,288,-367
1235063,690,-140,709,-43,288,-367
1240326,694,-139,710,-43,288,-367
1245591,688,-138,710,-43,288,-367
1250855,691,-136,710,-43,288,-367
1256120,693,-135,711,-43,288,-367
1261384,690,-137,712,-43,288,-367
1266648,693,-141,710,-43,288,-367
1271914,689,-139,710,-43,288,-367
1277179,693,-137,708,-43,288,-367
1282443,692,-137,710,-43,288,-367
1287708,690,-137,709,-43,288,-367
1292973,692,-140,709,-43,288,-367
1298431,690,-137,710,-43,288,-367
1303696,692,-139,711,-43,288,-367
1308961,690,-139,708,-43,288,-367
